Symbol,Company,Weight,YahooTicker
ADANIENT,Adani Enterprises Ltd.,,ADANIENT.NS
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,,ADANIPORTS.NS
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,,APOLLOHOSP.NS
ASIANPAINT,Asian Paints Ltd.,,ASIANPAINT.NS
AXISBANK,Axis Bank Ltd.,,AXISBANK.NS
BAJAJ-AUTO,Bajaj Auto Ltd.,,BAJAJ-AUTO.NS
BAJFINANCE,Bajaj Finance Ltd.,,BAJFINANCE.NS
BAJAJFINSV,Bajaj Finserv Ltd.,,BAJAJFINSV.NS
BEL,Bharat Electronics Ltd.,,BEL.NS
BHARTIARTL,Bharti Airtel Ltd.,,BHARTIARTL.NS
CIPLA,Cipla Ltd.,,CIPLA.NS
COALINDIA,Coal India Ltd.,,COALINDIA.NS
DRREDDY,Dr. Reddy's Laboratories Ltd.,,DRREDDY.NS
EICHERMOT,Eicher Motors Ltd.,,EICHERMOT.NS
ETERNAL,Eternal Ltd.,,ETERNAL.NS
GRASIM,Grasim Industries Ltd.,,GRASIM.NS
HCLTECH,HCL Technologies Ltd.,,HCLTECH.NS
HDFCBANK,HDFC Bank Ltd.,,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company Ltd.,,HDFCLIFE.NS
HINDALCO,Hindalco Industries Ltd.,,HINDALCO.NS
HINDUNILVR,Hindustan Unilever Ltd.,,HINDUNILVR.NS
ICICIBANK,ICICI Bank Ltd.,,ICICIBANK.NS
ITC,ITC Ltd.,,ITC.NS
INFY,Infosys Ltd.,,INFY.NS
INDIGO,InterGlobe Aviation Ltd.,,INDIGO.NS
JSWSTEEL,JSW Steel Ltd.,,JSWSTEEL.NS
JIOFIN,Jio Financial Services Ltd.,,JIOFIN.NS
KOTAKBANK,Kotak Mahindra Bank Ltd.,,KOTAKBANK.NS
LT,Larsen & Toubro Ltd.,,LT.NS
M&M,Mahindra & Mahindra Ltd.,,M&M.NS
MARUTI,Maruti Suzuki India Ltd.,,MARUTI.NS
MAXHEALTH,Max Healthcare Institute Ltd.,,MAXHEALTH.NS
NTPC,NTPC Ltd.,,NTPC.NS
NESTLEIND,Nestle India Ltd.,,NESTLEIND.NS
ONGC,Oil & Natural Gas Corporation Ltd.,,ONGC.NS
POWERGRID,Power Grid Corporation of India Ltd.,,POWERGRID.NS
RELIANCE,Reliance Industries Ltd.,,RELIANCE.NS
SBILIFE,SBI Life Insurance Company Ltd.,,SBILIFE.NS
SHRIRAMFIN,Shriram Finance Ltd.,,SHRIRAMFIN.NS
SBIN,State Bank of India,,SBIN.NS
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,,SUNPHARMA.NS
TCS,Tata Consultancy Services Ltd.,,TCS.NS
TATACONSUM,Tata Consumer Products Ltd.,,TATACONSUM.NS
TMPV,Tata Motors Passenger Vehicles Ltd.,,TMPV.NS
TATASTEEL,Tata Steel Ltd.,,TATASTEEL.NS
TECHM,Tech Mahindra Ltd.,,TECHM.NS
TITAN,Titan Company Ltd.,,TITAN.NS
TRENT,Trent Ltd.,,TRENT.NS
ULTRACEMCO,UltraTech Cement Ltd.,,ULTRACEMCO.NS
WIPRO,Wipro Ltd.,,WIPRO.NS
